query,before_mean_ms,after_mean_ms,reduction_percent,before_1,before_2,before_3,after_1,after_2,after_3
Q16,213.57859999999832,199.60143333333448,6.544273006126988,197.90929999999935,202.9149999999936,239.91150000000198,188.67549999999756,197.53650000000198,212.5923000000039
Q17,627.5592999999984,638.7700333333341,-1.7864022305678073,652.049199999994,624.5474000000104,606.0812999999907,604.1923999999999,644.8179000000091,667.2997999999934
Q18,559.988466666667,605.7473999999978,-8.171406387297765,576.2198999999964,543.5240999999951,560.2214000000095,588.1353999999992,634.0633999999991,595.043399999995
Q19,1021.0430999999953,1011.149833333339,0.9689372237720817,1032.7777999999962,1010.3116000000009,1020.0398999999888,1012.9086000000098,1005.6990000000078,1014.8418999999994
Q20,6.397999999996197,6.093599999997726,4.757736792726675,7.025399999998626,6.275599999993574,5.892999999996391,6.403999999994994,6.034799999993993,5.842000000004191
Q21,271.7297333333311,276.5985000000025,-1.7917680950648274,267.66599999999744,273.4893000000011,274.0338999999949,277.2024999999994,274.6044000000111,277.98859999999695
Q22,96.27780000000105,91.49503333333996,4.967673406186101,99.17250000000058,95.85530000001017,93.80559999999241,93.26420000000508,90.11590000000433,91.10500000001048
Q23,97.16156666666211,110.60459999999148,-13.83575192797084,98.60169999999925,96.92699999999604,95.95599999999104,105.72869999997783,112.8119000000006,113.273199999996
Q24,19.918433333339635,19.59073333332587,1.6452097136839594,20.447199999995064,18.529200000019046,20.778900000004796,21.339199999987613,19.004899999999907,18.42809999999008
Q25,5.383466666661358,3.6810666666715406,31.62274618569503,4.163000000000466,8.690600000001723,3.2967999999818858,4.530500000022585,3.5243999999947846,2.9882999999972526
Q26,3.033799999995002,8.442000000010012,-178.26488232658443,3.213999999978114,2.6283000000112224,3.2590999999956694,12.661099999997532,6.687200000014855,5.977700000017649
Q27,5.539033333334373,3.25036666666468,41.318882356174,4.153300000005402,9.238799999991897,3.2250000000058208,3.255299999989802,3.0139000000199303,3.481899999984307
Q28,405.73490000000066,416.43026666668203,-2.6360479876592624,399.23199999998906,424.45860000001267,393.5141000000003,435.4351000000024,411.2376000000222,402.6181000000215
Q29,6621.68776666666,5791.409800000004,12.538766488601972,6881.796699999977,6189.4054999999935,6793.861100000009,5265.085399999982,5497.4366000000155,6611.707400000014
Q30,3.4166666666666665,3.3781999999967716,1.1258536586310708,3.6735999999800697,3.400900000007823,3.175500000012107,3.7347000000008848,3.221799999999348,3.1780999999900814
Q31,140.69293333333917,136.0480000000001,3.3014688252564817,134.35740000000806,134.43009999999776,153.2913000000117,137.50880000001052,139.20199999999022,131.4331999999995
Q32,176.45063333333624,174.48243333332357,1.115439464756418,177.86069999999017,175.1714000000211,176.31979999999749,175.62210000000778,173.97869999997783,173.8464999999851
Q33,1137.6950333333418,1161.489266666671,-2.091442138374666,1123.3757000000041,1117.3610000000044,1172.3484000000171,1157.6585999999952,1136.0626000000047,1190.7466000000131
Q34,809.8167333333016,850.8367333333396,-5.065343590912819,775.2619999999879,879.2639999999665,774.9241999999504,861.8171000000148,828.8228000000236,861.8702999999805
Q35,794.6674333333503,823.2525000000023,-3.5971106235910044,822.1094000000157,799.9030999999959,761.9898000000394,812.1579999999958,822.7639000000199,834.8355999999912
Q36,129.29300000000512,137.21069999997658,-6.123842744751173,130.4784000000218,128.13589999999385,129.26469999999972,131.93349999998463,130.3006999999634,149.39789999998175
Q37,22.414933333348017,21.595799999990657,3.6544089655563994,23.323399999993853,23.229500000015832,20.691900000034366,21.036099999968428,21.304000000003725,22.447299999999814
Q38,20.352399999993697,20.176433333331563,0.8645990972179662,19.879899999999907,20.4258999999729,20.75140000000829,19.6872999999905,20.837999999988824,20.004000000015367
Q39,8.18253333333026,7.916133333327404,3.255715426391459,7.588999999978114,9.157100000011269,7.801500000001397,7.892200000002049,8.034999999974389,7.821200000005774
Q40,60.27143333334243,60.10916666667132,0.26922649370832996,60.82490000000689,60.10440000001108,59.88500000000931,59.96659999998519,59.70130000001518,60.6596000000136
